district,neighborhood,total_listings,avg_price,avg_price_per_m2
Beşiktaş,Nisbetiye Mah.,95,241000.0,845.0704225352113
Beşiktaş,Levazım Mah.,44,240000.0,1213.6363636363635
Üsküdar,Kandilli Mah.,4,197500.0,560.9679446888749
Sarıyer,Uskumruköy Mah.,7,175000.0,406.9767441860465
Beşiktaş,Levent Mah.,74,152500.0,598.6111111111111
Beykoz,Örnekköy Mah.,5,150000.0,181.8181818181818
Zeytinburnu,Kazlıçeşme Mah.,6,137500.0,866.6666666666666
Üsküdar,Beylerbeyi Mah.,5,135000.0,931.0344827586207
Sarıyer,Ferahevler Mah.,14,130000.0,479.16666666666663
Beşiktaş,Akat Mah.,28,122500.0,772.9934867107889
Beşiktaş,Vişnezade Mah.,42,120000.0,842.1985815602836
Beşiktaş,Bebek Mah.,17,115000.0,1000.0
Beykoz,Acarlar Mah.,43,110000.0,500.0
Şişli,Harbiye Mah.,27,100000.0,701.2987012987013
Beşiktaş,Arnavutköy Mah.,9,100000.0,833.3333333333334
Beşiktaş,Ulus Mah.,28,92500.0,531.5626911314985
Eyüpsultan,Mimar Sinan Mah.,17,90000.0,609.375
Beyoğlu,Şahkulu Mah.,8,90000.0,741.6666666666667
Beykoz,Riva Mah.,6,87500.0,280.55555555555554
Bakırköy,Şenlikköy Mah.,140,85000.0,411.7647058823529
Şişli,Esentepe Mah.,21,80000.0,666.6666666666666
Sarıyer,Emirgan Mah.,5,80000.0,666.6666666666666
Eyüpsultan,Göktürk Merkez Mah.,49,80000.0,500.0
Sarıyer,Maden Mah.,27,80000.0,433.3333333333333
Kağıthane,Emniyet Evleri Mah.,31,80000.0,533.3333333333334
Kadıköy,Suadiye Mah.,30,79705.0,593.073593073593
Beşiktaş,Ortaköy Mah.,16,77500.0,593.8940092165899
Kadıköy,Caddebostan Mah.,16,76500.0,600.9615384615385
Kadıköy,Fenerbahçe Mah.,18,75495.0,621.978021978022
Sarıyer,Maslak Mah.,246,75000.0,510.478384902348
Kadıköy,Göztepe Mah.,34,75000.0,578.6401098901099
Beşiktaş,Etiler Mah.,39,75000.0,733.3333333333334
Şişli,Teşvikiye Mah.,57,70000.0,641.025641025641
Üsküdar,Altunizade Mah.,5,68000.0,400.0
Kadıköy,Erenköy Mah.,14,66000.0,529.6296296296297
Üsküdar,Barbaros Mah.,7,65000.0,363.6363636363636
Ümraniye,Şerifali Mah.,3,65000.0,347.82608695652175
